u,v,deg_i,deg_j,triangle,Xi,sho_max,c_BF,c_OR,c_OR0,Theta_const,Theta_slope,Theta_at_t,env_upper,cOR_lower_from_cBF,cOR_upper_from_cBF,cBF_lower_from_cOR,cBF_upper_from_cOR
0,1,71,45,6,22,568.0,-1.5863067292644757,-1.1086956521739126,-1.1292644757433488,0.037357733562597195,0.018678866781298615,0.1494309342503889,-0.5285351674445264,-1.5975624277063345,0.11643526187800307,-1.9273865414710485,-1.0865762476081113
0,2,71,17,2,30,355.0,-1.595691797845899,-1.0416666666666665,-1.0787075393537693,0.09444444444444455,0.04722222222222222,0.188888888888889,-0.38888888888888884,-1.6285211267605635,0.06693048864418451,-1.8541839270919636,-0.9743164871572437
0,3,71,60,9,28,355.0,-1.4561032863849763,-1.0195810564663024,-1.035211267605634,0.030489475053754655,0.015244737526877303,0.16769211279565038,-0.4563680375802895,-1.5123175299520255,0.1705900339968983,-1.9384976525821596,-0.9551545383401597
0,5,71,34,4,10,568.0,-1.6650787075393536,-1.1865079365079363,-1.2141673570836784,0.04753745735054149,0.023768728675270735,0.14261237205162441,-0.6517801513128616,-1.6492901855577908,0.08327656776843814,-1.9130074565037283,-1.1886852158693868
0,8,71,23,1,14,568.0,-1.7885793018983467,-1.3194444444444446,-1.3600734843845683,0.06944444444444453,0.034722222222222224,0.10416666666666675,-0.6874999999999999,-1.7654538341158061,0.043185388710518406,-1.8848744641763626,-1.3231781996315781
0,10,71,17,1,10,355.0,-1.7390223695111848,-1.3472222222222223,-1.3985086992543492,0.09444444444444455,0.04722222222222222,0.14166666666666677,-0.6805555555555555,-1.710680751173709,0.04377915424026861,-1.8541839270919636,-1.3541839270909648
0,11,71,17,1,14,568.0,-1.742543496271748,-1.375,-1.4241922120961057,0.09444444444444455,0.04722222222222222,0.14166666666666677,-0.6361111111111111,-1.710680751173709,0.043210407585837815,-1.8541839270919636,-1.38711681855741
0,12,71,9,1,4,568.0,-1.6032863849765258,-1.280555555555555,-1.356807511737089,0.17899728997289976,0.08949864498644988,0.26849593495934965,-0.6095528455284551,-1.5354068857589984,0.04121184063762283,-1.7496087636932707,-1.3201182403050338
0,13,71,10,1,10,142.0,-1.5732394366197184,-1.253787878787879,-1.3183098591549296,0.16140318851162216,0.08070159425581114,0.2421047827674333,-0.5651241328952172,-1.5712583582301893,0.04805748122472547,-1.771830985915493,-1.2240219092321774
0,14,71,12,1,2,71.0,-1.665492957746479,-1.331196581196581,-1.397887323943662,0.13456510809451983,0.06728255404725994,0.20184766214177977,-0.7040346907993966,-1.626414469724329,0.043559054196418104,-1.8051643192488263,-1.345673578507086
0,17,71,24,1,14,568.0,-1.794014084507042,-1.3344444444444443,-1.370892018779342,0.06654066437571593,0.033270332187857965,0.0998109965635739,-0.6940034364261168,-1.7720266040688577,0.04316966294681125,-1.8884976525821595,-1.3381993348972792
0,19,71,5,0,10,284.0,-1.536619718309859,-1.1944444444444438,-1.3042253521126757,0.30982905982905984,0.15491452991452992,0.30982905982905984,-0.5106837606837606,-1.4626369327073554,0.029301714738824387,-1.5718309859154929,-1.214788732393366
0,22,71,15,1,18,213.0,-1.6591549295774648,-1.2569444444444442,-1.3042253521126757,0.10732323232323238,0.05366161616161617,0.16098484848484854,-0.5662878787878787,-1.6832942097026606,0.05205724508050069,-1.8384976525821597,-1.2043818466343676
0,24,71,19,2,10,568.0,-1.687361008154188,-1.205555555555554,-1.24759080800593,0.08429951690821258,0.042149758454106276,0.16859903381642513,-0.6357487922705314,-1.6558294209702662,0.05604186737847504,-1.866567828020756,-1.2133885182429647
0,26,71,8,0,10,355.0,-1.693661971830986,-1.3333333333333321,-1.413732394366197,0.2006172839506173,0.10030864197530864,0.2006172839506173,-0.6265432098765432,-1.6277386541471048,0.029199438720874334,-1.721830985915493,-1.3624559859144925
0,28,71,12,2,8,355.0,-1.55962441314554,-1.1217948717948718,-1.174882629107981,0.13456510809451983,0.06728255404725994,0.2691302161890397,-0.5426344896933132,-1.5234892259540147,0.05690363780613103,-1.8051643192488263,-1.1244555294721361
0,43,71,13,1,4,71.0,-1.6565547128927411,-1.505952380952381,-1.5720476706392197,0.12412329272794398,0.06206164636397195,0.1861849390919159,-0.6975359911406422,-1.648082942097027,0.04738266400781524,-1.817984832069339,-1.5034910316590455
0,52,71,9,0,14,355.0,-1.7101721439749609,-1.280555555555555,-1.356807511737089,0.17899728997289976,0.08949864498644988,0.17899728997289976,-0.6014905149051489,-1.6607589984350546,0.030425515018283385,-1.7496087636932707,-1.2877238741078507
0,57,71,4,0,4,71.0,-1.415492957746479,-1.1499999999999995,-1.2605633802816896,0.37582972582972585,0.18791486291486292,0.37582972582972585,-0.5202741702741702,-1.3635758998435055,0.030153040905729053,-1.471830985915493,-1.1485230829410966
0,63,71,7,0,2,71.0,-1.6579476861167002,-1.3611111111111107,-1.44466800804829,0.22777777777777775,0.1138888888888889,0.22777777777777775,-0.6972222222222222,-1.5864632237871676,0.02910052910052894,-1.6861167002012072,-1.4004024144859217
0,66,71,3,1,0,355.0,-0.9436619718309861,-0.8611111111111107,-0.8732394366197183,0.4751461988304093,0.23757309941520469,0.712719298245614,-0.20833333333333331,-0.9438575899843509,0.04151821988874302,-1.3051643192488265,-0.833333333332333
0,67,71,9,0,8,284.0,-1.7214397496087637,-1.4055555555555554,-1.483568075117371,0.17899728997289976,0.08949864498644988,0.17899728997289976,-0.6746612466124661,-1.6607589984350546,0.029288449945673648,-1.7496087636932707,-1.4378803686305424
0,81,71,14,1,12,142.0,-1.6448692152917506,-1.25,-1.3068410462776656,0.11513409961685817,0.05756704980842911,0.17270114942528728,-0.6204022988505746,-1.6668622848200314,0.05161488143908401,-1.8289738430583502,-1.1982310529835747
0,105,71,5,0,2,71.0,-1.5436619718309859,-1.263888888888888,-1.343661971830986,0.30982905982905984,0.15491452991452992,0.30982905982905984,-0.6132478632478632,-1.4626369327073554,0.028868074140152612,-1.5718309859154929,-1.3051643192478255
0,110,71,4,0,4,71.0,-1.415492957746479,-1.0805555555555548,-1.190140845070422,0.37582972582972585,0.18791486291486292,0.37582972582972585,-0.5202741702741702,-1.3635758998435055,0.030153040905729053,-1.471830985915493,-1.0617175273855406
0,118,71,5,0,0,1.0,-1.5718309859154929,-1.3333333333333326,-1.4450704225352111,0.30982905982905984,0.15491452991452992,0.30982905982905984,-0.6388888888888888,-1.4626369327073554,-0.6388888888888888,-1.5718309859154929,-1.4166666666656655
0,124,71,3,1,2,213.0,-0.9342723004694837,-0.8472222222222214,-0.8591549295774648,0.4751461988304093,0.23757309941520469,0.712719298245614,-0.18201754385964913,-0.9438575899843509,0.04188282600995896,-1.3051643192488265,-0.8054251434523118
0,132,71,7,2,2,213.0,-1.334674714956405,-1.166666666666666,-1.2313883299798793,0.22777777777777775,0.1138888888888889,0.45555555555555555,-0.4194444444444444,-1.2871674491392806,0.05566578483244858,-1.6861167002012072,-1.1969595349867035
0,142,71,2,0,6,213.0,-0.943661971830986,-0.7083333333333326,-0.7183098591549291,0.6411111111111111,0.32055555555555554,0.6411111111111111,-0.22555555555555556,-0.9673317683881065,0.028392094017093944,-0.971830985915493,-0.5551643192478255
0,151,71,8,0,10,284.0,-1.6866197183098592,-1.3055555555555545,-1.38556338028169,0.2006172839506173,0.10030864197530864,0.2006172839506173,-0.6265432098765432,-1.6277386541471048,0.029845648240463818,-1.721830985915493,-1.3241637323933653
0,160,71,6,1,2,71.0,-1.4154929577464788,-1.1924603174603168,-1.2746478873239435,0.2628591520996584,0.13142957604982922,0.39428872814948757,-0.5044454490657022,-1.3663928012519564,0.043043254718545754,-1.6384976525821595,-1.212571726655233
0,181,71,5,1,2,355.0,-1.3380281690140845,-1.138888888888888,-1.216901408450704,0.30982905982905984,0.15491452991452992,0.46474358974358976,-0.4326923076923076,-1.272496087636933,0.04153037962136977,-1.5718309859154929,-1.177699530515431
0,197,71,6,0,0,1.0,-1.6384976525821595,-1.432539682539682,-1.539906103286385,0.2628591520996584,0.13142957604982922,0.2628591520996584,-0.6865079365079365,-1.5333948133243909,-0.6865079365079365,-1.6384976525821595,-1.520833333332332
0,200,71,8,0,2,71.0,-1.693661971830986,-1.4027777777777768,-1.484154929577465,0.2006172839506173,0.10030864197530864,0.2006172839506173,-0.7253086419753086,-1.6277386541471048,0.029199438720874334,-1.721830985915493,-1.4405809859144918
0,207,71,5,0,2,71.0,-1.5436619718309859,-1.3333333333333321,-1.4450704225352116,0.30982905982905984,0.15491452991452992,0.30982905982905984,-0.6132478632478632,-1.4626369327073554,0.028868074140152612,-1.5718309859154929,-1.3884976525811585
0,208,71,2,0,2,71.0,-0.943661971830986,-0.8055555555555549,-0.8169014084507034,0.6411111111111111,0.32055555555555554,0.6411111111111111,-0.2788888888888889,-0.9673317683881065,0.028392094017093944,-0.971830985915493,-0.7009976525811588
0,224,71,4,1,0,568.0,-1.193661971830986,-1.005555555555555,-1.066901408450704,0.37582972582972585,0.18791486291486292,0.5637445887445888,-0.3583333333333333,-1.1410406885759,0.04135375775160724,-1.471830985915493,-1.0243055555545555
0,229,71,3,0,2,71.0,-1.2769953051643195,-1.083333333333333,-1.1784037558685445,0.4751461988304093,0.23757309941520469,0.4751461988304093,-0.44590643274853803,-1.214984350547731,0.028574702585578312,-1.3051643192488265,-1.101460615544122
0,233,71,3,1,2,142.0,-0.9295774647887326,-0.8194444444444433,-0.8309859154929577,0.4751461988304093,0.23757309941520469,0.712719298245614,-0.18201754385964913,-0.9438575899843509,0.04206512907056692,-1.3051643192488265,-0.763693270734523
0,250,71,3,1,0,568.0,-0.9436619718309861,-0.7916666666666661,-0.8028169014084507,0.4751461988304093,0.23757309941520469,0.712719298245614,-0.20833333333333331,-0.9438575899843509,0.04151821988874302,-1.3051643192488265,-0.74074074073974
0,268,71,3,1,0,213.0,-0.9436619718309861,-0.8749999999999996,-0.8873239436619718,0.4751461988304093,0.23757309941520469,0.712719298245614,-0.20833333333333331,-0.9438575899843509,0.04151821988874302,-1.3051643192488265,-0.8518518518508512
